time;headset_pose;headset_orientation;gaze_origin;gaze_direction;tag_of_obj_being_looked_at;focusinfo.point;tracker_pose;tracker_orientation;curr_goal;trials_done_on_goal;in_target;in_start;current_state;eye_good
0.000000;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
0.020000;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
0.353333;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
0.390238;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
0.415867;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
0.436840;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
0.446901;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
0.454748;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
0.462394;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
0.471178;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
0.479983;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
0.490487;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
0.498501;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
0.507771;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
0.516334;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
0.527154;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
0.535172;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
0.542878;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
0.551387;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
0.572169;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
0.581345;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
0.591405;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
0.602085;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
0.615284;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
0.623641;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
0.632060;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
0.642307;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
